#{"t_start": 1775332093.6458802, "env_id": "None"}
r,l,t
49.852834,128,3.512785
63.971908,96,3.7403
44.492491,72,3.907102
48.349462,125,4.184328
89.86165,52,4.350868
108.807857,42,4.484656
72.406452,75,4.681941
103.756093,44,4.833684
38.358849,102,5.049539
38.31527,116,5.311429
69.171145,51,5.477416
75.593395,75,5.697417
66.077793,86,5.910328
15.010815,148,6.176281
49.465316,81,6.397376
52.364295,45,6.564938
68.412768,42,6.873784
51.934316,66,7.084632
82.382091,48,7.305815
63.0335,45,7.540434
103.469731,28,7.743167
44.706656,162,8.05291
84.694312,36,8.208625
84.006394,36,8.645508
-16.312407,212,9.014937
87.181669,31,9.14234
78.96145,57,9.328139
101.257643,43,9.468523
19.293872,132,9.763333
51.43807,74,9.960587
62.322206,28,10.067666
104.027007,50,10.222998
15.773328,161,10.539777
8.60787,215,10.936967
75.836351,66,11.117098
43.653774,53,11.27919
66.020237,36,11.410468
87.115899,80,11.625784
46.103017,91,11.863981
77.67711,57,12.0736
88.110374,46,12.211932
23.849717,163,12.55032
80.632299,37,12.719729
121.098572,30,12.874534
50.762669,84,13.080313
68.087048,48,13.221918
55.42383,64,13.396767
76.886725,37,13.546769
85.563962,85,13.814745
48.963691,140,14.107479
74.569276,28,14.254361
91.059004,79,14.45335
85.463865,30,14.591905
66.274238,105,14.825119
1.774568,224,15.220832
69.07243,40,15.390339
-17.379476,220,15.821123
47.122581,65,16.019934
33.092748,173,16.367525
56.328632,99,16.592016
73.859079,105,25.780997
54.795824,81,25.999471
23.717996,127,26.267728
-46.677017,283,26.802281
108.913247,37,27.072874
59.191203,150,27.466046
82.435736,43,27.684527
62.425903,36,27.904387
89.201781,53,28.079716
59.516773,94,28.31588
89.087149,30,28.465634
14.895184,120,28.734115
42.424252,69,28.920506
39.731085,96,29.144131
94.548104,49,29.325057
43.769196,98,29.566833
20.623305,231,29.989949
94.633452,71,30.169335
92.584349,61,30.343389
63.43014,48,30.520778
61.371026,48,30.68656
87.203013,34,30.879233
73.372376,91,31.118329
50.002259,79,31.322615
33.299482,104,31.584578
75.750435,54,31.788736
63.480611,46,31.960864
98.09628,35,32.112747
86.998944,88,32.307452
76.324407,52,32.523049
49.027633,69,32.720952
46.713953,129,32.992126
78.540381,49,33.168186
50.319151,47,33.347185
52.518798,74,33.553496
55.326342,83,33.768305
153.988583,27,33.91658
112.295765,42,34.069233
56.904886,68,34.271184
48.411149,48,34.43443
63.574576,30,34.574393
34.81117,157,34.941376
62.853209,46,35.104012
70.939405,42,35.263287
49.023154,92,35.511064
73.939934,88,35.748774
58.177872,73,35.955136
82.709252,85,36.166718
66.086302,34,36.32584
92.010748,51,36.523315
45.757059,92,36.771486
47.062561,90,36.998644
52.315548,78,37.189353
92.864136,29,37.341524
59.910671,50,37.514709
36.900715,117,37.787457
88.443307,27,37.920187
48.420517,84,38.14861
61.11684,57,38.334276
65.3944,35,38.495129
83.964874,77,38.729719
75.535299,86,38.973727
61.616139,50,39.121223
106.511054,46,39.290524
121.875013,16,39.420396
39.014827,140,39.722108
72.892286,68,39.930732
58.041949,78,49.372779
78.741504,62,49.577612
55.273216,141,49.893908
80.943375,57,50.068908
71.911309,107,50.343166
37.281534,66,50.699436
81.075013,113,51.021775
78.096534,95,51.374122
112.59743,38,51.571355
48.305426,110,51.843599
101.203746,29,51.992308
53.929492,66,52.167801
103.717877,43,52.341343
44.67114,107,52.569747
96.010713,57,52.781031
43.949263,112,53.02986
51.246745,67,53.255296
72.426863,39,53.420063
40.101812,50,53.596312
61.554832,45,53.761999
72.840418,85,53.969623
51.994744,55,54.131291
100.970209,49,54.300185
