#{"t_start": 1775276335.4527833, "env_id": "None"}
r,l,t
44.931212,68,5.01326
58.68576,55,5.164049
41.039148,183,5.455733
-32.739855,220,5.827833
51.364904,60,6.012964
100.454236,41,6.153906
17.587307,137,6.410096
35.450581,102,6.609157
57.037251,60,6.797973
-17.820228,198,7.154436
53.16484,149,7.455625
72.837296,84,7.704659
71.841237,71,7.8827
98.138682,44,8.011657
31.397289,90,8.21491
63.849497,127,8.451408
20.401315,142,8.723805
23.998669,98,8.930791
53.56246,93,9.153262
45.515177,138,9.403204
67.336182,54,9.568419
69.419521,56,9.739833
53.902174,99,10.004951
26.530309,79,10.303713
60.535376,64,10.48721
79.588323,36,10.609076
28.138247,101,10.838006
35.409531,101,11.069098
-42.224261,276,19.677865
39.603741,233,20.079872
-20.038527,196,20.397794
63.446672,152,20.677848
62.812775,44,20.947283
16.366414,156,21.285353
52.381767,64,21.468956
44.339754,63,21.678261
5.45671,217,22.044443
82.034687,86,22.233505
42.249531,66,22.415124
34.650451,76,22.615263
80.417556,52,22.786495
54.123189,75,22.9636
49.325771,98,23.170033
30.343377,87,23.369285
49.326448,99,23.578269
67.744145,27,24.261594
42.330266,68,26.153721
101.785214,55,26.590265
64.443112,22,26.873528
28.63272,121,27.348732
63.033152,109,27.793921
13.370252,159,28.284614
36.040806,98,28.669915
116.685446,69,29.032426
4.101856,171,29.598681
37.239344,100,29.876104
62.881996,120,30.171666
20.235342,159,41.788012
97.85013,31,42.094844
56.1196,88,43.332784
89.537592,63,43.667909
14.661487,172,44.070982
40.741102,105,44.397941
22.172111,153,44.739186
73.054222,62,45.018559
73.27338,64,45.240873
129.637953,31,45.411152
64.411382,77,45.794449
94.313347,74,46.363997
49.42932,56,46.706676
39.266131,137,47.307606
50.277559,73,47.726415
33.103821,82,48.151915
59.505551,92,48.567258
53.267581,56,48.899846
67.123939,85,49.369841
29.122502,104,49.745944
87.9197,52,50.039437
81.394387,48,50.299038
90.289412,56,50.558989
51.645026,108,50.962821
64.5765,70,51.343212
68.387359,33,51.571886
105.707183,28,51.73751
78.193519,21,51.895816
92.576565,60,52.247948
71.70475,55,52.615135
53.36186,43,52.834065
61.462322,33,53.071981
44.952699,68,53.348403
70.220658,67,53.589381
65.228983,79,53.834779
86.550252,41,54.046819
14.718181,191,54.503783
59.335468,109,54.805328
71.083711,83,55.062512
10.576992,108,65.71991
139.295069,39,65.889261
68.67337,86,66.139052
48.776357,32,66.288786
83.131523,91,66.579319
33.866125,72,67.003292
68.229511,96,67.336187
80.774119,79,67.599071
95.611598,76,67.852216
36.487945,76,68.096818
70.890303,55,68.268832
57.605969,59,68.482417
36.241896,63,68.744932
36.265536,54,68.911843
57.439102,143,69.250089
72.336564,57,69.451192
65.60296,63,69.708806
-29.400906,185,70.121922
45.088157,55,70.306956
36.203831,112,70.64371
52.754133,134,71.007176
66.247346,93,71.297163
28.22796,190,71.732282
53.619932,57,71.962596
17.924914,108,72.254012
27.243595,109,72.539501
50.219981,70,72.7654
131.081599,57,72.981295
49.317226,134,73.315102
130.804024,62,73.550063
82.051012,25,73.690493
18.487505,111,73.96741
95.112666,32,74.163574
68.332143,74,74.429073
82.166498,117,74.727727
72.558353,43,74.894938
84.866247,93,85.39637
107.272041,25,85.566386
56.954499,84,85.827434
21.955002,120,86.145635
33.66965,76,86.434986
67.053865,58,86.795034
12.256195,160,87.221515
23.252072,81,87.51643
72.654456,42,87.726806
16.000244,136,88.195858
35.81025,87,88.574976
16.482458,128,89.151392
20.264692,89,89.62649
45.70995,118,90.001685
43.826421,80,90.246501
5.11551,196,90.688322
34.183394,130,91.035073
41.319045,64,91.2424
41.2795,77,91.486335
4.468441,231,91.959954
34.553204,70,92.197568
3.587709,144,92.528084
77.70314,49,92.68749
64.481324,78,92.933988
71.321915,72,93.193201
81.588634,16,93.323766
13.795671,113,93.631576
23.084753,118,93.929429
23.790633,160,94.301483
-3.194179,199,110.475222
55.138956,121,111.970392
19.697407,91,112.621124
44.767561,76,113.13234
54.500993,92,113.701572
74.486414,57,114.138163
76.720966,51,114.461699
52.778475,103,114.72328
63.630502,32,114.870071
31.426113,162,115.14536
55.155785,72,115.315527
103.963929,36,115.463545
68.093718,41,115.608223
73.950166,36,115.73628
103.109563,42,115.915245
81.516078,39,116.09057
34.61179,111,116.371902
53.297304,36,116.524451
64.91516,53,116.705017
78.136182,54,116.890313
93.047671,34,117.030816
38.494184,78,117.234568
57.088783,163,117.54417
59.136671,43,117.719824
62.550733,55,117.874318
57.035993,53,118.06186
44.635231,67,118.235014
15.304676,119,118.530211
78.716686,32,118.654714
64.128384,70,118.837157
97.228276,42,118.973339
29.642728,89,119.20873
