#{"t_start": 1775306952.1651025, "env_id": "None"}
r,l,t
38.69593,104,3.490436
64.069069,167,3.816555
19.256577,130,4.294385
49.642811,90,4.526406
60.018335,36,4.698337
53.198678,65,4.976434
90.438371,55,5.182632
53.980791,96,5.469573
47.604061,64,5.692098
53.657702,67,5.92715
14.125638,177,6.305072
45.872457,120,6.626791
50.299412,51,6.834793
69.904065,69,7.064894
73.137789,52,7.22772
109.414298,93,7.457122
54.477947,119,7.741131
75.075586,103,8.002504
50.7119,63,8.181196
60.337134,50,8.350199
54.818248,133,8.827576
77.885148,39,8.978804
66.526841,37,9.174206
45.59434,93,9.404427
75.153065,40,9.589049
64.999014,69,9.791904
16.930859,180,10.172418
71.334831,63,10.594205
97.639098,37,10.772981
22.770859,129,11.083774
61.860011,56,11.410398
49.655748,70,11.718039
81.625607,107,12.515823
45.283719,111,12.945453
69.037968,52,13.164463
65.553491,63,23.145555
87.645746,68,23.361455
49.924318,108,23.648534
63.027542,78,23.853808
37.852677,78,24.098604
77.74055,79,24.318743
57.256604,77,24.52135
92.287306,79,24.738816
-109.674388,400,25.662804
60.428371,67,25.897988
58.249522,119,26.164351
85.999657,61,26.360534
80.973623,59,26.583237
50.813357,97,26.856265
81.941519,33,27.018727
29.094753,88,27.255847
80.692572,59,27.457223
45.481461,109,27.735514
56.097367,114,27.998484
81.249306,48,28.186719
42.161393,100,28.439875
90.42773,47,28.618084
54.278611,55,28.808254
72.862006,65,29.025074
90.035595,61,29.243162
56.992963,50,29.426237
7.422433,170,29.785891
76.025136,29,29.939362
33.078437,97,30.214813
59.245176,115,30.485254
40.045244,127,30.780287
25.111393,118,31.073978
-3.20343,210,41.274623
79.073822,37,41.476684
57.28816,38,41.677646
43.089634,78,41.888405
-21.671497,280,42.658687
47.134419,70,42.876807
88.011421,94,43.15871
70.810278,70,43.376745
19.633536,129,43.647126
42.645656,90,43.903752
82.57049,70,44.165828
135.385282,24,44.305284
87.018264,85,44.543769
75.864828,30,44.713255
54.403109,52,44.899658
40.47087,162,45.281928
47.086579,82,45.510888
35.459393,150,45.835356
5.368443,169,46.19997
24.477122,148,46.525778
22.965437,102,46.817763
52.170135,119,47.128274
107.332343,48,47.297675
67.884072,63,47.496396
39.034568,135,47.789176
44.398836,89,48.067348
49.631236,80,48.297317
43.996908,71,48.491437
45.629165,70,48.813972
75.595128,52,49.071739
63.543805,72,49.369413
31.982994,84,49.714495
70.017582,102,60.51956
53.210232,26,60.667412
70.962042,86,60.92362
65.24124,58,61.119446
23.095893,154,61.457245
59.075199,39,61.628718
40.820664,79,61.843246
35.963489,100,62.109365
49.229415,106,62.990519
55.570086,28,63.172554
99.322869,62,63.345566
92.660294,55,63.5179
67.201448,59,63.68352
44.460821,55,63.879206
84.343825,37,64.035912
40.841771,109,64.348798
88.6553,49,64.541117
43.756275,67,64.755916
73.974163,72,64.9844
87.525401,38,65.127919
127.852065,29,65.284494
47.909365,122,65.577284
28.671995,133,65.873958
36.012538,137,66.192143
53.581527,35,66.338883
82.790028,20,66.469794
55.921744,64,66.676595
86.040623,77,66.889161
62.150517,56,67.075411
36.582001,70,67.29836
