#{"t_start": 1775344561.9557962, "env_id": "None"}
r,l,t
58.021848,79,3.984416
39.509921,170,4.582939
77.19145,80,4.79963
81.671726,69,4.986392
64.009741,27,5.116974
70.809464,146,5.413376
66.339903,135,5.703188
70.536452,128,6.334516
37.710322,185,6.771445
82.015704,75,7.818947
62.271382,131,8.144267
81.148485,55,8.323676
57.250344,40,8.53285
85.228354,22,8.665356
145.324961,60,8.85643
57.978449,33,9.005857
54.725807,120,9.238132
76.546967,66,9.405963
69.918208,113,9.690743
77.252568,57,9.894499
27.555266,198,10.307849
102.349709,47,10.481004
53.184583,174,11.647403
82.451994,43,11.786
97.719496,55,11.955254
126.870086,41,12.122595
60.952491,76,12.374372
96.834621,41,12.535736
61.067873,45,12.728174
29.745598,219,13.534894
53.943962,59,13.906028
54.418088,71,14.231945
125.156485,31,14.47378
56.596822,74,14.832543
54.725616,70,15.163748
54.315211,109,16.41753
71.041458,19,16.662213
62.362691,64,16.951658
68.65723,29,17.202828
81.625273,211,17.649754
88.99257,85,17.878873
66.899426,19,18.022784
82.620647,35,18.184431
94.749929,60,18.390363
90.984399,14,18.48869
45.923974,130,18.745692
105.187963,28,18.932683
63.803216,46,19.087165
82.522277,25,19.265112
85.252115,41,19.404437
80.519994,71,19.61552
74.75613,102,20.941261
106.579142,35,21.09709
74.535659,74,21.324273
64.778539,28,21.480321
54.984768,95,21.778379
64.79131,31,21.922856
63.072687,65,22.135142
68.755418,65,22.33757
69.92069,25,22.497743
86.002408,28,22.638023
69.787614,24,22.749421
52.878126,84,22.951775
79.537744,21,23.082131
124.690849,12,23.1803
49.934686,52,23.368045
59.390498,85,23.643469
82.962411,34,23.782372
66.13911,49,23.965334
106.866045,14,24.067192
77.65505,84,40.330135
122.421975,20,40.525091
68.092048,66,40.990479
53.81125,75,42.0839
121.893293,50,42.285491
108.529797,40,42.427336
45.323784,116,42.659016
101.586588,75,42.864108
116.574102,33,43.030638
66.633433,69,43.234999
86.028376,29,43.3986
125.093902,18,43.577391
81.939272,22,43.72506
84.989772,46,43.900955
65.839891,24,44.05652
58.982271,65,44.236652
62.221132,24,44.374787
95.912848,36,44.515511
54.816301,97,44.784023
84.168998,28,44.919658
81.048311,52,45.108826
82.98629,42,45.259936
85.697093,24,45.406407
86.703981,25,45.560417
89.8865,29,45.69546
76.751335,47,46.684738
88.824342,72,46.855748
89.460224,35,47.0096
116.747026,68,47.210835
60.064489,81,47.530582
79.927944,24,47.855457
52.350912,118,48.156754
86.19275,26,48.301603
74.665923,16,48.436164
76.852837,57,48.592051
62.336109,55,48.762887
108.643348,15,48.876621
67.966973,24,49.001886
60.318161,40,49.146342
91.495687,22,49.284884
81.932092,18,49.415434
87.871546,59,49.591197
70.364803,26,49.762434
87.888954,36,49.988802
67.480071,39,50.170328
89.476422,70,50.372567
110.327777,29,50.522055
81.746147,58,50.782082
112.211985,22,52.005049
69.71157,22,52.210281
63.028882,47,52.429034
82.261318,83,53.01825
89.332591,18,53.167032
62.667901,32,53.354291
62.828967,28,53.554443
69.369601,31,53.782402
113.268036,17,53.933307
63.608996,36,54.116576
54.59221,58,54.318879
85.405946,39,54.480599
71.515179,39,54.686967
56.246209,45,54.910738
64.171651,29,55.096225
118.758643,75,55.333214
77.570314,29,55.531161
106.077069,33,55.75115
108.192682,26,55.935329
62.913413,59,56.147627
66.37149,17,56.259252
53.111189,109,56.547849
50.01707,89,56.799028
68.457729,86,58.556406
80.201732,48,58.763888
131.22073,30,58.939869
68.769386,24,59.114688
58.626391,80,59.396352
83.481969,34,59.608789
95.588327,48,59.851228
71.941064,34,60.070872
86.752643,26,60.254369
74.254731,90,60.565298
61.214023,58,60.746805
73.271482,46,60.921869
66.805424,18,61.047036
88.833943,73,61.239982
63.507545,27,61.381877
65.862174,28,61.548371
66.686597,41,61.751842
72.335542,28,62.021846
87.429287,42,62.355926
103.665898,45,62.562576
69.466431,13,62.698037
61.491217,44,62.868944
113.721526,20,63.010462
56.020952,95,64.314944
92.159355,60,64.591871
75.372184,35,64.760273
79.436523,31,64.955541
79.989278,51,65.201832
85.968656,47,65.393759
70.850881,20,65.556254
66.143835,21,65.715281
