#{"t_start": 1775281015.2804537, "env_id": "None"}
r,l,t
-79.375138,367,0.777335
88.442889,23,0.916587
-11.124696,218,1.474709
81.311595,83,1.765108
22.527948,149,2.09828
-4.538337,217,3.403871
-23.063775,214,3.845627
82.694529,57,4.057556
81.554428,126,4.343659
-24.569919,223,4.791229
51.506411,80,5.039531
79.658648,36,5.220404
-19.324082,179,5.642108
83.552866,61,6.006356
35.673931,144,7.170534
26.412871,183,7.552547
47.601923,61,7.768713
79.249234,66,7.998607
76.914712,67,8.23874
69.927506,63,8.429798
51.083537,144,9.663745
8.40908,159,9.982323
0.424431,146,26.363966
36.559144,100,27.566832
22.76225,130,27.894291
65.324417,23,28.045009
27.14591,79,28.246112
53.273783,53,28.43897
-27.343284,254,28.960904
70.203059,58,29.161308
63.67684,70,29.385237
44.671194,55,29.610584
30.313062,124,29.916236
42.572411,65,30.147582
43.894284,91,31.261612
29.068916,80,31.533472
20.893649,66,31.777882
73.863983,35,31.925912
4.803233,105,32.217347
61.560593,41,32.386902
58.633929,56,32.585505
73.501878,43,32.776728
45.002192,92,33.060508
77.84582,57,33.383987
25.112421,87,33.793382
-2.134835,146,34.370632
17.971595,131,34.902493
42.756612,48,35.974755
21.889839,136,36.292463
48.3423,90,36.555392
56.339861,65,36.750706
33.078757,60,36.969506
42.910714,47,37.166135
43.317337,76,37.392233
47.078244,68,37.609088
50.96987,82,37.830051
48.007164,47,38.003263
75.415051,84,38.241404
53.569989,37,38.408624
32.313665,147,55.0077
29.898623,169,56.334367
68.615358,26,56.48083
93.757907,52,56.659366
30.637601,74,56.838415
8.344171,173,57.165917
90.803715,49,57.337476
94.225074,35,57.453986
76.613869,50,57.633567
57.718751,44,57.783201
109.710403,47,57.935934
103.853273,59,58.122286
39.283096,61,58.285355
77.314521,27,58.429229
22.422497,82,58.6189
57.332123,152,59.750088
51.976441,82,60.008765
28.55971,130,60.382534
-10.468939,218,61.135931
20.184748,78,61.455915
76.623945,40,61.657497
55.837759,67,61.868734
44.92161,79,62.105934
42.702957,68,62.305999
89.448502,17,62.469973
40.627503,65,62.680498
80.250894,66,62.89521
133.021946,21,63.021893
78.193601,64,63.325761
114.88732,37,64.319114
43.26422,47,64.497087
33.558271,110,64.775393
68.234139,92,65.06646
57.748405,30,65.310809
139.434673,36,65.535604
39.095186,136,66.009016
60.900775,68,66.323213
120.210711,32,66.555385
59.845697,35,66.759127
121.808303,35,66.913431
50.140907,82,67.17138
23.84386,142,82.467457
