#{"t_start": 1775161174.1169357, "env_id": "None"}
r,l,t
7.549289,82,0.148123
27.546166,82,0.332854
30.782238,70,0.503718
30.121443,146,0.755006
16.902047,150,1.019436
12.22614,98,1.242152
17.232083,115,1.482112
11.953913,102,1.707121
-32.450011,252,2.149621
30.460699,83,2.38759
54.14426,42,2.518567
-23.648843,246,2.95039
3.419076,210,3.305672
12.950768,111,3.553814
8.73473,75,3.755605
14.476955,74,3.965742
37.834962,52,4.131231
62.405543,24,4.278148
37.483945,93,4.490558
10.485583,141,4.784964
17.734281,148,5.073337
12.960076,71,5.255832
7.146391,116,5.498169
39.125978,82,5.711295
23.951122,56,5.90197
-3.750078,113,6.144874
-4.993566,158,6.434641
30.954399,130,6.70552
1.738529,138,7.000139
23.798829,53,7.163201
32.653135,69,7.363845
25.398076,96,7.574707
17.704242,72,7.762648
23.225674,50,7.9363
74.035435,66,8.129678
51.613146,57,8.294034
33.192912,49,8.457842
0.607177,35,8.636287
29.927367,149,8.927152
16.693551,45,9.065772
1.981145,125,9.337049
24.862326,64,9.556942
6.272544,75,9.758569
17.426498,67,9.942996
0.179915,132,10.191598
-8.861386,262,10.633086
-39.794008,324,19.794377
24.303165,107,20.151997
-18.442639,148,20.444599
-3.840094,123,20.711062
-20.134777,128,20.994607
-21.195465,177,21.338993
20.030799,130,21.616962
11.074758,53,21.784916
-8.709566,143,22.101284
16.998647,131,22.392424
67.447026,72,22.58924
-8.014706,202,22.973858
46.279188,32,23.117847
22.406496,121,23.665594
12.25825,69,23.849106
34.12801,122,24.113688
29.029757,46,24.284772
-42.327295,256,24.726289
-37.400971,245,25.160829
57.316459,111,25.403155
30.184107,37,25.552671
37.442158,80,25.748466
-2.554062,179,26.105753
18.771727,90,26.350512
-5.136031,157,26.675428
6.4988,117,26.945973
24.722694,135,27.211094
-22.876432,226,27.592757
32.052194,53,27.757483
17.034854,95,28.018045
-27.249934,268,28.461829
-28.702446,237,28.905045
33.644995,52,29.066378
-8.998036,89,29.305258
9.247022,78,29.499092
31.586004,171,29.836483
72.019108,65,30.037502
38.866376,33,30.17573
42.179226,39,30.35053
-9.00755,175,30.677013
-17.018269,159,36.671426
-51.379488,272,37.18373
-10.1609,59,37.392263
54.477971,54,37.566968
-7.904958,81,37.816231
-23.31225,179,38.206129
62.682873,35,38.351862
18.880223,134,38.649166
41.307844,104,38.871144
41.995804,57,39.043719
1.486139,125,39.321409
9.381464,113,39.574586
31.83926,75,39.779854
-5.957242,112,40.05611
7.647428,80,40.281839
44.789262,35,40.401691
30.478556,63,40.586361
17.36399,118,40.860986
3.735237,105,41.128024
-36.228843,216,41.548947
41.675488,51,41.720315
31.732437,77,41.889084
32.580033,74,42.095662
15.32607,191,42.500687
-31.193331,275,42.979333
15.69987,105,43.232621
30.394579,73,43.416169
-12.719614,90,43.652945
-38.47833,206,43.987315
-30.282865,197,44.346346
61.886858,52,44.51227
12.3176,71,44.732826
25.787407,108,45.057635
-4.570314,58,45.244888
37.807089,34,45.438767
17.015662,116,45.753411
-3.872263,95,46.027427
16.208361,97,46.261308
-32.120211,205,46.653904
37.894619,81,46.842512
41.601148,93,47.104565
