#{"t_start": 1775183003.5701678, "env_id": "None"}
r,l,t
-7.310387,177,0.320624
-12.202165,144,0.555742
12.090738,126,0.790154
-22.758196,127,0.996406
18.360416,94,1.18886
-33.352918,202,1.48328
-1.264987,105,1.673867
2.442227,132,1.905999
64.933646,48,2.041106
-51.064455,366,2.528069
11.900364,89,2.705805
-31.599427,160,2.970497
15.03503,146,3.18613
-0.093444,180,4.910676
16.688631,202,5.205818
15.574729,110,5.572709
37.187102,84,5.860637
14.259182,96,6.195421
32.381434,91,6.54557
26.262503,46,6.828896
27.649385,103,7.115169
-24.967795,284,7.747888
28.620975,99,7.93447
17.807221,58,8.044785
26.900169,133,8.254959
17.170132,180,8.572177
-4.081488,117,8.770599
28.086958,64,8.93043
37.427704,73,9.077785
-42.571212,249,9.44111
-112.365574,400,11.129948
50.320217,122,11.348925
25.148545,109,11.53951
55.793011,54,11.695171
-5.308044,186,11.94403
12.053851,93,18.883463
-14.617322,88,19.070588
43.759057,114,19.269236
47.429328,66,19.396972
14.760785,181,19.651999
19.741846,185,19.933612
38.698756,136,20.292771
-110.317565,400,22.043036
-41.571447,327,22.488801
60.137016,77,22.656306
44.112243,138,22.873976
-15.168436,249,23.210527
35.955563,254,23.727115
-11.625075,183,24.242089
35.169467,53,24.51092
-31.942195,398,24.99697
-43.949962,343,26.741007
18.946714,140,27.074929
18.193169,143,27.379625
43.2363,80,27.552011
44.913471,118,27.748107
3.201793,232,28.182491
8.558298,157,28.468054
20.32916,83,28.705885
84.440242,116,28.998934
-76.868105,400,29.632293
36.105282,210,29.967562
39.253668,92,41.275453
3.994108,189,41.625855
2.832941,81,43.488222
13.262305,160,43.816534
43.514063,99,44.083539
26.854488,122,44.405493
25.617966,154,44.745116
36.17444,108,45.017743
29.233424,97,45.245424
-12.112253,205,45.617158
29.190218,161,45.94182
28.151765,146,46.254882
17.941829,85,46.481008
-3.363136,200,46.844826
1.989318,168,47.185603
18.92342,196,47.519574
17.049689,154,49.245002
34.367111,73,49.434307
13.89709,168,49.781531
46.695243,65,49.963587
20.062383,100,50.232667
48.764452,114,50.490378
16.64982,102,50.731439
-11.268614,255,51.142123
32.943391,61,51.321432
10.665251,97,51.612413
13.270596,89,51.862067
34.758948,106,52.115902
31.617569,106,52.390058
20.785619,67,52.560706
31.651242,33,52.725232
29.690766,59,52.928249
41.817902,42,53.089395
4.184013,185,53.43733
-2.641926,105,53.701466
56.070947,105,54.006036
23.95151,71,55.842241
22.420644,94,56.133208
22.676104,49,56.301825
10.589695,115,56.567236
13.369196,94,56.817817
22.065986,112,57.103695
32.087861,47,57.275822
22.111522,75,57.472346
81.266786,72,57.676505
39.625467,82,66.583208
-15.142458,158,66.85591
47.735606,62,67.012278
31.956598,130,67.266761
-6.598709,255,67.797541
-16.527442,246,68.413625
28.488335,49,68.708629
-47.972857,400,69.586224
57.989059,41,71.731992
23.205513,92,72.06222
8.592786,85,72.378237
32.296089,120,72.757945
57.070732,94,73.086626
18.733168,131,73.45995
2.088651,155,73.827483
9.627387,221,74.335943
-2.407825,216,74.817459
26.88091,187,75.258664
49.144158,85,75.522894
25.037106,177,75.880883
73.575389,73,76.090748
15.584588,144,76.352189
52.924597,42,76.506393
39.824075,68,76.690822
16.541433,118,76.922534
19.877049,211,80.032985
29.203803,204,80.370286
49.80735,31,80.504115
70.850439,85,80.696326
24.11747,148,80.921901
38.791952,69,81.078666
42.507923,69,81.25582
27.48798,78,81.428194
-0.63963,166,81.6945
47.541442,67,81.849637
41.725898,123,82.039217
52.902083,170,82.292799
32.948552,59,82.453467
31.508832,330,94.474113
54.235909,64,94.612263
31.849819,98,94.787858
47.96153,83,96.334418
21.038,74,96.536834
32.743442,102,96.743572
31.103885,169,96.99763
24.006954,35,97.124496
14.080455,121,97.335508
