#{"t_start": 1774649144.4352622, "env_id": "None"}
r,l,t
-50.018778,56,0.110004
-74.276307,43,0.177411
-60.441643,28,0.225321
-51.552706,43,0.284535
-19.786172,65,0.387509
-39.004941,84,0.490815
-29.878247,113,0.621092
-4.684236,21,0.654399
-45.880451,30,0.690596
-70.499915,11,0.708071
-10.674628,39,0.770972
-40.338992,19,0.799391
-74.357318,77,0.905265
-61.433939,75,0.990026
-71.082437,68,1.070192
-45.772326,37,1.115119
-56.112891,32,1.154423
-58.76844,37,1.200042
-74.925925,25,1.234108
-52.877699,31,1.281116
-67.865166,46,1.352908
-49.111283,45,1.443521
-75.523868,72,1.544816
-61.215549,74,1.63102
-56.490336,29,1.666053
-9.189719,19,1.693434
-52.851492,76,1.791487
-36.346004,46,1.841109
-21.629483,52,1.901073
-4.483557,33,1.951623
-83.738621,150,2.114545
-66.011031,67,2.196194
-64.867017,41,2.252122
-24.765799,33,2.286139
-68.362134,87,2.379241
-39.693702,107,2.535955
-68.960527,47,2.608092
-53.252345,81,2.717619
-53.237444,62,4.656667
-64.84044,101,4.828959
-31.830273,105,4.962924
-54.410179,53,5.03228
-68.416737,38,5.077126
-33.733393,29,5.116286
-24.450957,21,5.140827
-81.421441,26,5.171218
-61.394895,30,5.206597
-44.643341,42,5.25122
-53.7013,37,5.294091
-8.680353,67,5.363667
-45.342221,73,5.457572
-45.522397,44,5.521893
-64.683006,40,5.569503
-32.182903,57,5.634442
-64.818688,109,5.75376
-73.37256,145,5.985293
-33.898604,65,6.088021
-93.192304,128,6.234157
-81.137494,85,6.326382
-50.915426,55,6.387268
-14.978252,32,6.428419
-45.222768,138,6.587517
-31.278774,36,6.63417
-22.717893,35,6.678403
-66.817911,44,6.733486
-34.462464,57,6.798312
-35.843552,102,6.928428
-13.13687,29,6.984281
-121.090167,131,7.165303
-90.217071,141,9.157342
-71.184983,95,9.290385
-58.071508,81,9.377248
-3.926372,69,9.450131
-86.252204,88,9.539711
-25.161381,138,9.690901
-5.638551,22,9.720807
-45.411243,34,9.75955
-38.637325,59,9.824844
-77.503067,95,9.923655
-23.862693,60,9.982825
-46.392727,84,12.608309
-53.169389,37,12.654004
-86.905785,131,12.797438
-62.363352,69,12.874986
-86.340826,58,12.937667
-10.267061,117,13.072051
-87.950874,109,13.182389
-65.697807,55,13.254552
-48.368667,62,13.339057
-25.575406,98,13.490355
-40.969299,32,13.534136
-41.892037,80,13.619067
-65.946111,150,13.789951
-54.147609,38,13.835071
-7.847178,77,13.921913
-38.096735,73,15.88017
-27.447283,52,15.954673
-62.048484,30,15.994413
-45.369356,66,16.066209
-56.830546,88,16.161085
-40.328185,45,16.236966
-43.290045,61,16.322148
-21.241591,57,16.386263
-22.843307,150,16.539706
-51.015143,116,16.678111
-39.26225,86,16.840487
-47.560946,123,17.009073
-48.65852,47,17.063721
-23.756831,89,17.166384
-38.732162,60,17.240697
-52.520337,149,17.407741
-44.5408,23,17.440331
-35.379697,44,17.493742
-37.868878,82,17.584028
-46.899604,90,17.679379
-70.863786,135,17.865336
-53.612251,150,18.055474
-57.88785,85,18.147358
-29.980076,91,18.249305
-56.537498,114,20.329439
-36.946298,60,20.405517
-24.608097,116,20.544666
-6.940829,44,20.595736
-39.306226,109,20.705578
-24.255255,57,20.771601
-11.060005,82,20.860116
-52.264499,129,21.040908
-55.452356,150,21.235986
-23.479618,150,21.394211
-41.022187,123,21.531051
-29.741965,53,21.587714
-44.755188,150,21.7393
-59.872835,150,21.892449
-71.115332,135,22.040995
-15.76865,40,22.090658
-61.009154,71,22.193134
-44.765884,150,24.866734
-43.188967,150,25.033225
-22.571869,144,27.104139
-50.64222,74,27.21051
-30.350983,34,27.261777
-51.429319,150,27.422899
-83.89304,107,27.537357
-47.980939,150,27.720762
-25.894936,73,27.834605
-42.166366,150,28.023735
-49.026887,98,28.126386
-37.894317,150,28.287827
-31.639523,80,28.371378
-60.565787,150,28.516352
-8.936402,104,28.64533
-24.12257,150,28.83378
-65.245051,150,29.018829
-49.038083,93,29.143226
-67.681587,105,29.275946
-38.631534,119,29.406965
-48.264823,85,31.464205
-45.23722,83,31.586748
-19.12699,126,31.722697
-68.415046,150,31.88648
-43.024587,150,32.038095
-32.035011,150,32.205868
-29.697169,150,32.436375
-39.960605,129,32.566193
-17.330855,44,32.618514
-46.398304,84,32.705506
-60.5532,74,32.785015
-38.201482,67,32.887116
-38.739085,36,32.928141
-18.500586,93,33.025038
-60.38774,99,33.132407
-61.063233,101,33.247723
-47.39548,90,33.371045
-21.183674,147,33.552326
-64.016998,150,33.707815
-29.705421,96,35.701389
-16.383677,150,35.908358
-46.838493,150,36.068953
-34.930061,150,36.218106
-38.940207,150,36.374687
-47.68459,144,39.005066
-22.926867,120,39.134479
-32.003909,150,39.293215
-20.572075,150,39.443517
-18.813317,117,39.577938
-49.515374,127,39.720898
-36.054096,149,39.92538
-33.023039,150,40.094479
-78.524406,100,40.207863
-45.406203,150,40.356634
-28.351027,150,42.374846
-42.591362,112,42.499991
-20.476497,125,42.636065
-41.031116,150,42.788933
-22.537954,150,42.947666
-42.173789,150,43.176924
-33.190322,150,43.333438
-60.797698,48,43.385671
-27.520614,150,43.534029
-14.911699,136,43.685081
-19.782816,150,43.862636
-30.862229,150,44.028869
-24.415791,150,44.23563
-37.828368,150,44.418963
-30.548871,150,44.582893
-44.826271,150,47.459752
-44.904705,150,47.632422
-24.959773,53,47.723036
-45.176315,150,47.930444
-58.887989,150,48.087602
-48.860219,150,48.237842
-33.408575,139,48.390848
-40.591274,150,48.534528
