run_id,lr,gamma,n_steps,batch,n_epochs,clip_range,ent_coef,gae_lambda,diff,mean_reward,std_reward,train_time_s
0,0.0003,0.99,2048,64,10,0.2,0.01,0.95,0.2,-470.04,367.71,883.3
1,0.0001,0.99,2048,64,10,0.2,0.01,0.95,0.2,-510.07,346.28,860.7
2,0.001,0.99,2048,64,10,0.2,0.01,0.95,0.3,-240.02,361.61,886.6
3,0.0003,0.99,2048,64,10,0.1,0.01,0.95,0.3,-474.27,345.87,899.9
4,0.0003,0.99,2048,64,10,0.3,0.01,0.95,0.4,-466.62,358.82,835.3
5,0.0003,0.99,2048,64,10,0.2,0.05,0.95,0.4,-615.69,306.23,873.7
6,0.0003,0.99,2048,64,10,0.2,0.001,0.95,0.5,-504.56,351.67,853.7
7,0.0003,0.99,512,64,10,0.2,0.01,0.95,0.5,-443.33,397.07,855.2
8,0.0003,0.99,2048,64,10,0.2,0.01,0.8,0.6,-411.37,350.77,860.4
9,0.0002,0.99,2048,128,15,0.2,0.02,0.95,0.7,-606.07,309.37,816.5
10,0.0003,0.99,2048,128,10,0.2,0.02,0.95,0.25,-446.95,405.89,2717.1
11,0.001,0.995,1024,128,15,0.15,0.01,0.96,0.25,-226.88,367.17,5508.4
12,0.005,0.99,1024,128,15,0.15,0.01,0.95,0.2,-173.81,339.49,2631.0
13,0.005,0.99,1024,128,15,0.15,0.01,0.95,0.2,-26.73,183.22,3196.6
