run_id,lr,gamma,entropy_coef,hidden,diff,mean_reward,std_reward,train_time_s
0,0.001,0.99,0.01,128,0.2,-639.24,277.14,805.2
1,0.0005,0.99,0.01,128,0.2,-340.44,366.72,805.5
2,0.002,0.99,0.01,128,0.3,-285.14,298.92,1111.9
3,0.001,0.95,0.01,128,0.3,-700.03,227.71,799.6
4,0.001,0.9,0.01,128,0.3,-419.18,333.98,782.9
5,0.001,0.99,0.02,128,0.4,-672.44,257.82,912.5
6,0.001,0.99,0.005,128,0.4,-505.0,355.05,1171.9
7,0.001,0.99,0.01,64,0.5,-269.79,328.52,950.7
8,0.001,0.99,0.01,256,0.5,-457.98,327.88,1134.5
9,0.0005,0.99,0.015,256,0.6,-284.46,310.56,1118.9
10,0.001,0.99,0.015,256,0.25,40.31,15.48,1913.3
11,0.001,0.99,0.015,256,0.25,69.37,29.64,2990.0
12,0.001,0.99,0.02,256,0.2,76.49,19.95,1699.0
